ng_url,name,province
https://astrapa.nt-acs.net/station_65,แม่ฮ่องสอน (FM 104 MHz) ,แม่ฮ่องสอน
https://astrapa.nt-acs.net/station_66,แม่ฮ่องสอน-แม่สะเรียง (FM 90.5 MHz),แม่ฮ่องสอน-แม่สะเรียง
https://astrapa.nt-acs.net/station_67,ยโสธร (FM 90 MHz),ยโสธร
https://astrapa.nt-acs.net/station_68,ยะลา (FM 92 MHz),ยะลา
https://astrapa.nt-acs.net/station_69,ยะลา (FM 94.25 MHz),ยะลา
https://astrapa.nt-acs.net/station_70,ยะลา (FM 95 MHz),ยะลา
https://astrapa.nt-acs.net/station_71,ราชบุรี (AM 1593 KHz),ราชบุรี
https://astrapa.nt-acs.net/station_72,ระยอง (FM 91.75 MHz),ระยอง
https://astrapa.nt-acs.net/station_73,ระนอง (FM 107.25 MHz),ระนอง
https://astrapa.nt-acs.net/station_74,ร้อยเอ็ด (FM 94.00 MHz),ร้อยเอ็ด
https://astrapa.nt-acs.net/station_75,ลำปาง (FM 97 MHz),ลำปาง
https://astrapa.nt-acs.net/station_76,ลำพูน (FM 95 MHz),ลำพูน
https://astrapa.nt-acs.net/station_77,เลย (FM 95.25 MHz),เลย
https://astrapa.nt-acs.net/station_78,ศรีสะเกษ (FM 100.25 MHz),ศรีสะเกษ
https://astrapa.nt-acs.net/station_79,จันทบุรี-สวศ. (AM 927 KHz),จันทบุรี-สวศ.
https://astrapa.nt-acs.net/station_80,สระแก้ว (FM 103.25 MHz),สระแก้ว
https://astrapa.nt-acs.net/station_81,แม่ฮ่องสอน-สวศ. (FM 102 MHz),แม่ฮ่องสอน-สวศ.
https://astrapa.nt-acs.net/station_82,สกลนคร (FM 91.25 MHz),สกลนคร
https://astrapa.nt-acs.net/station_83,สงขลา (FM 89.50 MHz),สงขลา
https://astrapa.nt-acs.net/station_84,สงขลา (FM 90.50 MHz),สงขลา
https://astrapa.nt-acs.net/station_85,สงขลา (AM 558 KHz),สงขลา
https://astrapa.nt-acs.net/station_86,สงขลา (AM 1404 KHz ),สงขลา
https://astrapa.nt-acs.net/station_87,สงขลา (FM 102.25 MHz),สงขลา
https://astrapa.nt-acs.net/station_88,สงขลา (สวศ. สงขลา),สงขลา
https://astrapa.nt-acs.net/station_89,สตูล (FM 95.5 MHz),สตูล
https://astrapa.nt-acs.net/station_90,สตูล (FM 99.5 MHz),สตูล
https://astrapa.nt-acs.net/station_91,สุราษฎร์ธานี (FM 89.75 MHz),สุราษฎร์ธานี
